,code,size
0,2330,1566
1,2317,1464
2,3008,1343
3,2454,1140
4,2891,1040
5,2882,1035
6,2881,1035
7,2412,961
8,2888,948
9,2883,869
10,2886,867
11,2344,860
12,2885,816
13,2884,815
14,2890,812
15,2408,804
16,2892,786
17,2409,760
18,3481,739
19,2887,732
20,2308,731
21,2498,670
22,3406,620
23,4904,610
24,2356,608
25,2880,596
26,2492,586
27,2357,579
28,2353,561
29,3045,555
30,2618,555
31,6505,548
32,2303,514
33,2912,513
34,5880,510
35,4938,502
36,2327,498
37,3711,480
38,6488,467
39,6456,453
40,3231,452
41,2301,441
42,2382,440
43,6153,431
44,2002,427
45,8454,407
46,2456,404
47,2313,402
48,2207,395
49,3673,388
